mouthOpeningValue,mouthWidth,lengthFromMouthToNose,mouthAngle,smilingProbability,cheekWidth,lengthFromCheekToEye,leftEyeOpeningValue,rightEyeOpeningValue,lengthFromEyebrowsToNose,emotionName
0.71,30.53,19.95,125.02,0.28,49.64,25.72,1.36,1.28,31.90,neutral
0.30,29.68,18.26,142.00,0.08,47.49,24.20,1.48,1.34,31.55,neutral
-0.15,19.18,11.03,127.15,0.08,41.10,19.66,0.91,0.82,33.17,disappointed
-0.23,18.95,11.05,136.82,0.09,40.00,18.42,1.05,0.86,30.63,disappointed
0.16,18.31,11.27,130.24,0.10,40.85,18.31,1.14,0.97,31.41,disappointed
0.64,22.34,8.42,119.83,0.30,44.15,16.58,0.49,0.72,32.16,disappointed
0.84,24.83,6.51,144.90,0.28,42.07,18.15,2.01,1.11,33.63,disappointed
0.79,25.51,7.65,157.38,0.18,43.88,19.90,1.91,1.02,35.00,disappointed
0.22,28.67,16.00,164.87,0.11,46.67,21.67,0.88,1.00,28.87,disappointed
-0.44,21.78,11.88,121.94,0.07,42.57,19.31,1.49,0.99,35.45,disappointed
0.23,28.87,11.86,129.19,0.12,46.39,19.59,1.61,1.16,33.30,disappointed
0.67,27.82,22.35,125.54,0.07,48.12,26.14,1.66,1.61,33.33,fearful
1.19,27.38,22.02,121.13,0.12,48.81,25.60,1.56,1.41,32.26,fearful
0.34,20.41,16.84,113.84,0.08,45.92,24.49,1.66,1.53,35.10,fearful
3.63,24.77,21.03,128.66,1.70,48.62,24.30,1.52,1.34,29.63,fearful
6.38,24.66,19.59,122.01,2.91,47.26,23.31,1.44,1.31,30.34,fearful
4.44,25.68,22.67,125.07,1.05,48.65,23.33,1.83,1.50,27.47,fearful
4.10,27.50,17.21,112.62,4.94,46.67,23.36,2.15,1.69,31.64,fearful
1.37,25.14,16.76,130.84,6.53,50.28,24.86,2.03,1.64,39.66,fearful
0.96,20.86,13.67,117.18,6.05,44.60,23.02,1.80,1.35,37.41,fearful
0.29,29.57,10.52,131.07,0.06,57.53,21.03,1.26,1.07,33.05,disappointed
0.35,22.22,11.90,133.42,0.03,45.24,21.83,1.29,1.09,33.49,disappointed
0.26,23.26,12.07,131.59,0.05,46.51,21.84,1.15,1.08,33.45,disappointed
-0.44,25.00,13.00,129.08,0.16,48.00,22.00,1.81,1.56,36.60,disappointed
1.11,19.17,7.92,118.11,0.06,38.33,17.50,1.25,0.52,32.58,disappointed
